Ministere / Entite;Acheteur;Libelle du projet achat;Code nomenclature Etat; Libelle nomenclature Etat;Perimetre organisationnel;Perimetre geographique;Region si perimetre geographique regional;Date envisagee pour la notification;Duree envisagee en mois, toutes periodes incluses hors garantie;Montant previsionnel HT (toutes periodes de reconduction incluses);annee
Ministere de la Transition ecologique et solidaire;;Lot 1 Location- Maintenance des systemes couleur de reprographie 4 machines;39.02.01;Materiel et equipement centre repro, editique et impression;Ministeriel;Administration centrale;;2019 3eme trim;36;entre 1 MEuros et 10 MEuros;2019
Ministere de la Transition ecologique et solidaire;;Climatisation Plot I;37.02.02;Maintenance chauffage, ventilation, climatisation (CVC);Ministeriel;Administration centrale;;2019 3eme trim;6;entre 100 KEuros et 1 MEuros;2019
Ministere de la Transition ecologique et solidaire;;Maquettes numeriques de Sequoea, Plot I, Nanterre, et site ministeriel pour fonctionnement BIM/GTPAO/GMAO;33.04.08;Prestation de numerisation (tout type);Ministeriel;Administration centrale;;2019 1er trim;6;entre 100 KEuros et 1 MEuros;2019
Ministere de la Transition ecologique et solidaire;;Nettoyage locaux LA DEFENSE;45.05.07;Autres prestations et services;Ministeriel;Administration centrale;;2019 4eme trim;48;entre 1 MEuros et 10 MEuros;2019
Ministere de la Transition ecologique et solidaire;;Marche de tierce maintenance applicative des applications developpees avec le logiciel WORKEY;33.02.07;Support et maintenance logiciels;Ministeriel;National;;2018 octobre;48;entre 100 KEuros et 1 MEuros;2018
Ministere de la Transition ecologique et solidaire;;Exploitation des espaces evenementiels St Germain;33.04.15;Support utilisateurs (hotline, helpdesk);Ministeriel;Administration centrale;;2019 4eme trim;48;entre 100 KEuros et 1 MEuros;2019
Ministere de la Transition ecologique et solidaire;;Location ou mise en oeuvre de bout en bout de liaisons fibres optiques constituant le reseau metropolitain de leadministration centrale du ministere de la Transition ecologique et solidaire et du ministere de la Cohesion des Territoires;33.05.04;Services reseaux de donnees;Ministeriel;Administration centrale;;2021 2nd trim;48;entre 100 KEuros et 1 MEuros;2021
Ministere de la Transition ecologique et solidaire;;Surveillance du marche des produits reglementes_2  Lot 4  : ATEX;45.05.07;Autres prestations et services;Ministeriel;National;;2019 3eme trim;48;entre 100 KEuros et 1 MEuros;2019
Ministere de la Transition ecologique et solidaire;;Maintenance applicative (evolutive et corrective) ainsi que leassistance aux utilisateurs internes de l'ensemble applicatif Outil Informatique de Surveillance des Oragnismes (OISO) Lot 1 : Maintenance applicative (evolutive et corrective) de OISO;;;Ministeriel;National;;2020 2nd trim;48;entre 100 KEuros et 1 MEuros;2020
Ministere de la Transition ecologique et solidaire;;Developpement et fourniture de capteurs videos;44.02.02;Machine et equipement industriel (hors mat impression);Ministeriel;National;;2019 2nd trim;48;entre 100 KEuros et 1 MEuros;2019
Ministere de la Transition ecologique et solidaire;;Appel e un prestataire exterieur pour contreler les agents en arrets de travail;45.05.07;Autres prestations et services;Ministeriel;Administration centrale;;2019 1er trim;48;entre 100 KEuros et 1 MEuros;2019
Ministere de la Transition ecologique et solidaire;;Mise en euvre de prestations de formation e destination des agents techniques des services de leEtat en charge de l'inspection des installations classees. Lot 13 : Formation communication;40.02.06;Autres formations technique / metier;Ministeriel;National;;2021 3eme trim;48;entre 100 KEuros et 1 MEuros;2021
Ministere de la Transition ecologique et solidaire;;Mise en euvre de prestations de formation e destination des agents techniques des services de leEtat en charge de l'inspection des installations classees. Lot 4 : Formation risques chroniques;40.02.06;Autres formations technique / metier;Ministeriel;National;;2021 3eme trim;48;entre 100 KEuros et 1 MEuros;2021
Ministere de la Transition ecologique et solidaire;;Mise en euvre de prestations de formation e destination des agents techniques des services de leEtat en charge de l'inspection des installations classees. Lot 10e: Risques NATECH;40.02.06;Autres formations technique / metier;Ministeriel;National;;2021 1er trim;48;< 100 KEuros;2021
Ministere de la Transition ecologique et solidaire;;Travaux deecrans acoustiques de securisation du boulevard peripherique Nord de Caen(avenue V. Vinde + Calvaire St  Pierre);37.04.02;Services et travaux entretien equipement et materiel routier;Ministeriel;Regional ou infra;NORMANDIE;2020 2nd trim;12;entre 1 MEuros et 10 MEuros;2020
Ministere de la Transition ecologique et solidaire;;RN338 e Assistance e Maetrise deOuvrage e radiologie - acces definitifs du pont Flaubert;40.01.08;etude e caractere general;Ministeriel;Regional ou infra;NORMANDIE;2018 novembre;84;entre 100 KEuros et 1 MEuros;2018
Ministere de la Transition ecologique et solidaire;;RN13 - Deviation sud-ouest deEvreux - Section courante et echangeur de Cambolle;37.04.01;Services et travaux d'entretien des routes (yc deneigement);Ministeriel;Regional ou infra;NORMANDIE;2021 3eme trim;28;> 10 Meuros;2021
Ministere de la Transition ecologique et solidaire;;Assistance en matiere de traitements geomatiques;45.05.07;Autres prestations et services;Ministeriel;Administration centrale;;2019 3eme trim;48;entre 100 KEuros et 1 MEuros;2019
Ministere de la Transition ecologique et solidaire;;Ordonnancement des operations routieres Bordeaux;40.01.06;Conseil et expertise metier yc recherche et developpement;Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2018 octobre;48;entre 100 KEuros et 1 MEuros;2018
Ministere de la Transition ecologique et solidaire;;Marche deinvestissements sur le reseau routier national (non-mutualisable e leechelon national)e:  Secteur Poitou-Charentes-Limousin signalisation verticale;36.03.01;Tvx constr infra transports, routes (yc tvx prealables);Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2018 octobre;4;entre 100 KEuros et 1 MEuros;2018
Ministere de la Transition ecologique et solidaire;;Marche deinvestissements sur le reseau routier national (non-mutualisable e leechelon national)e:  RN141 Chasseneuil coordination SPS;40.01.08;etude e caractere general;Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2018 octobre;60;< 100 KEuros;2018
Ministere de la Transition ecologique et solidaire;;Marche deinvestissements sur le reseau routier national (non-mutualisable e leechelon national)e:  RN149 Parthenay etude deopportunite phase 2;40.01.08;etude e caractere general;Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2018 octobre;36;entre 100 KEuros et 1 MEuros;2018
Ministere de la Transition ecologique et solidaire;;Marche deinvestissements sur le reseau routier national (non-mutualisable e leechelon national)e:  RN141 Saintes Diconche Etude deopportunite phase 2;40.01.08;etude e caractere general;Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2018 octobre;36;entre 100 KEuros et 1 MEuros;2018
Ministere de la Transition ecologique et solidaire;;RN141 Roumazieres realisation des passages superieurs;36.03.01;Tvx constr infra transports, routes (yc tvx prealables);Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2019 2nd trim;12;entre 1 MEuros et 10 MEuros;2019
Ministere de la Transition ecologique et solidaire;;Fourniture et pose de signalisation verticale;37.04.02;Services et travaux entretien equipement et materiel routier;Ministeriel;Regional ou infra;OCCITANIE;2020 2nd trim;48;entre 1 MEuros et 10 MEuros;2020
Ministere de la Transition ecologique et solidaire;;RCEA Paray Charolles Amenagement Aire du Charolais;36.03.01;Tvx constr infra transports, routes (yc tvx prealables);Ministeriel;Regional ou infra;BOURGOGNE FRANCHE COMTE;2018 octobre;8;entre 1 MEuros et 10 MEuros;2018
Ministere de la Transition ecologique et solidaire;;RCEA Genelard Amenagements paysagers;36.03.01;Tvx constr infra transports, routes (yc tvx prealables);Ministeriel;Regional ou infra;BOURGOGNE FRANCHE COMTE;2018 octobre;6;entre 100 KEuros et 1 MEuros;2018
Ministere de la Transition ecologique et solidaire;;RN7 Saint Pierre Allier  Ouvrage;36.03.01;Tvx constr infra transports, routes (yc tvx prealables);Ministeriel;Regional ou infra;BOURGOGNE FRANCHE COMTE;2019 4eme trim;12;entre 1 MEuros et 10 MEuros;2019
Ministere de la Transition ecologique et solidaire;;RN7 Saint Pierre Allier Chaussee;36.03.01;Tvx constr infra transports, routes (yc tvx prealables);Ministeriel;Regional ou infra;BOURGOGNE FRANCHE COMTE;2020 4eme trim;12;entre 1 MEuros et 10 MEuros;2020
Ministere de la Transition ecologique et solidaire;;RN77 Denivellation PN19 OA SNCF;36.03.01;Tvx constr infra transports, routes (yc tvx prealables);Ministeriel;Regional ou infra;BOURGOGNE FRANCHE COMTE;2019 4eme trim;12;entre 1 MEuros et 10 MEuros;2019
Ministere de la Transition ecologique et solidaire;;RN57 Devecey A36 phase1 paysager RN;36.03.01;Tvx constr infra transports, routes (yc tvx prealables);Ministeriel;Regional ou infra;BOURGOGNE FRANCHE COMTE;2020 3eme trim;12;entre 1 MEuros et 10 MEuros;2020
Ministere de la Transition ecologique et solidaire;;RN57 Boulevard Beure MOE assistance concertation;36.04.01;Prestation d'assistance e maetrise d'ouvrage (AMOA);Ministeriel;Regional ou infra;BOURGOGNE FRANCHE COMTE;2019 2nd trim;12;< 100 KEuros;2019
Ministere de la Transition ecologique et solidaire;;RN57 Pontarlier MOE post DUP;36.04.01;Prestation d'assistance e maetrise d'ouvrage (AMOA);Ministeriel;Regional ou infra;BOURGOGNE FRANCHE COMTE;2021 2nd trim;96;entre 100 KEuros et 1 MEuros;2021
Ministere de la Transition ecologique et solidaire;;Marche deinvestissements sur le reseau routier national (non-mutualisable e leechelon national)e:  A4/A86 e SMMAC Viaducs;36.03.01;Tvx constr infra transports, routes (yc tvx prealables);Ministeriel;Regional ou infra;ILE DE France;2018 octobre;24;entre 1 MEuros et 10 MEuros;2018
Ministere de la Transition ecologique et solidaire;;Maintenance preventive et curative des ascenseurs et monte-charges;37.02.04;Maintenance ascenseur, monte charge, escalier mecanique;Ministeriel;Regional ou infra;ILE DE France;2018 decembre;48;< 100 KEuros;2018
Ministere de la Transition ecologique et solidaire;;Travaux deentretien et de de renovation-Plomberie;37.02.03;Maintenance plomberie et assainissement interieur;Ministeriel;Regional ou infra;ILE DE France;2020 4eme trim;48;A determiner;2020
Ministere de la Transition ecologique et solidaire;;Travaux deentretien et de de renovation-Menuiserie;37.03.02;Petit travaux de menuiserie (bois, aluminium, PVC);Ministeriel;Regional ou infra;ILE DE France;2020 4eme trim;48;A determiner;2020
Ministere de la Transition ecologique et solidaire;;Signalisation permanente plastique;36.03.02;Tvx rehabilitation infra transports, routes (yc revetement);Ministeriel;Regional ou infra;BRETAGNE;2021 2nd trim;48;entre 100 KEuros et 1 MEuros;2021
Ministere de la Transition ecologique et solidaire;;Entretien, maintenance et mise e disposition de donnees de stations meteorologiques;37.02.10;Maintenance equipements industriels;Ministeriel;Regional ou infra;BRETAGNE;2020 4eme trim;48;entre 100 KEuros et 1 MEuros;2020
Ministere de la Transition ecologique et solidaire;;Scellement de fissures (6 lots geographiquese: district de Brest, district de Laval, district de Nantes, district de Rennes, district de Saint-Brieuc, district de Vannes);36.03.02;Tvx rehabilitation infra transports, routes (yc revetement);Ministeriel;Regional ou infra;BRETAGNE;2020 3eme trim;48;entre 1 MEuros et 10 MEuros;2020
Ministere de la Transition ecologique et solidaire;;Fourniture de produits de marquage routier (2 lotse:  Peinture + solvants / produits divers);36.06.04;Materiaux entretien infra transports (beton, peinture, sel);Ministeriel;Regional ou infra;BRETAGNE;2018 novembre;48;entre 1 MEuros et 10 MEuros;2018
Ministere de la Transition ecologique et solidaire;;Gros entretien de bassin (6 lots geographiquese: district de Brest, district de Laval, district de Nantes, district de Rennes, district de Saint-Brieuc, district de Vannes);36.03.02;Tvx rehabilitation infra transports, routes (yc revetement);Ministeriel;Regional ou infra;BRETAGNE;2021 4eme trim;48;entre 1 MEuros et 10 MEuros;2021
Ministere de la Transition ecologique et solidaire;;Fourniture de pieces detachees pour vehicules et materiel et prestations de reparation (34 lots);34.03.01;Pieces detachees et accessoires vehicules terrestres;Ministeriel;Regional ou infra;BRETAGNE;2021 1er trim;48;entre 1 MEuros et 10 MEuros;2021
Ministere de la Transition ecologique et solidaire;;Maintenance du reseau deappel deurgence gere par la DIR Nord;37.04.01;Services et travaux d'entretien des routes (yc deneigement);Ministeriel;Regional ou infra;HAUTS DE France;2019 2nd trim;48;entre 100 KEuros et 1 MEuros;2019
Ministere de la Transition ecologique et solidaire;;Hydrocurage et inspection deouvrage deassainissement District de Lille;37.04.01;Services et travaux d'entretien des routes (yc deneigement);Ministeriel;Regional ou infra;HAUTS DE France;2019 3eme trim;48;entre 100 KEuros et 1 MEuros;2019
Ministere de la Transition ecologique et solidaire;;Fourniture et livraison de produits de marquage routier pour l'entretien effectue par les EST;37.04.01;Services et travaux d'entretien des routes (yc deneigement);Ministeriel;Inter-regionnal;HAUTS DE France;2020 4eme trim;48;entre 1 MEuros et 10 MEuros;2020
Ministere de la Transition ecologique et solidaire;;Prestations topographiques et foncieres sur le RRN Lot 3e: District AMV;37.04.01;Services et travaux d'entretien des routes (yc deneigement);Ministeriel;Regional ou infra;HAUTS DE France;2019 2nd trim;48;< 100 KEuros;2019
Ministere de la Transition ecologique et solidaire;;Inspections detaillees de portiques, potences et Hauts mats de signalisation;37.04.01;Services et travaux d'entretien des routes (yc deneigement);Ministeriel;Inter-regionnal;HAUTS DE France;2019 3eme trim;48;entre 100 KEuros et 1 MEuros;2019
Ministere de la Transition ecologique et solidaire;;Prestations de maintenance du materiel d'entretien pour les espaces verts lot 4e: CEI de Laon, CEI De Soissons, CEI d'Avesnes-sur-Helpe;37.04.01;Services et travaux d'entretien des routes (yc deneigement);Ministeriel;Regional ou infra;HAUTS DE France;2019 3eme trim;48;< 100 KEuros;2019
Ministere de la Transition ecologique et solidaire;;Realisation deeanalyses sur materiaux bitumineux pour la recherche de fibre deamiante et la mesure dehydrocarbures aromatiques polycycliques;37.04.01;Services et travaux d'entretien des routes (yc deneigement);Ministeriel;Inter-regionnal;HAUTS DE France;2019 3eme trim;48;entre 100 KEuros et 1 MEuros;2019
Ministere de la Transition ecologique et solidaire;;Fourniture et livraison de fondants routiers destines e leentretien hivernal des routes gerees par la DiR NORD;37.04.01;Services et travaux d'entretien des routes (yc deneigement);Ministeriel;Inter-regionnal;HAUTS DE France;2019 4eme trim;48;entre 1 MEuros et 10 MEuros;2019
Ministere de la Transition ecologique et solidaire;;Fourniture deequipement de protection individuel et chaussants;41.05.02;equipement de Protection Individuelle (EPI);Ministeriel;Inter-regionnal;HAUTS DE France;2020 1er trim;48;entre 100 KEuros et 1 MEuros;2020
Ministere de la Transition ecologique et solidaire;;Fourniture de materiel de comptage routier;37.04.02;Services et travaux entretien equipement et materiel routier;Ministeriel;Regional ou infra;ILE DE France;2019 4eme trim;48;entre 1 MEuros et 10 MEuros;2019
Ministere de la Transition ecologique et solidaire;;Travaux d'entretien preventif des routes nationales de Mayotte e Lot 2 travaux de mise en euvre d'enduit superficiel d'usure  (ESU) e Mise en euvre d'enduit superficiel d'usure sur le reseau routier national de Mayotte;37.04.02;Services et travaux entretien equipement et materiel routier;Ministeriel;Regional ou infra;OUTRE-MER;2019 1er trim;36;entre 100 KEuros et 1 MEuros;2019
Ministere de la Transition ecologique et solidaire;;RN17 amenagements paysagers;36.03.04;Travaux de construction de VRD, ouvrages annexes;Ministeriel;Regional ou infra;HAUTS DE France;2020 3eme trim;48;entre 100 KEuros et 1 MEuros;2020
Ministere de la Transition ecologique et solidaire;;Conseil juridique et financier relatif aux appels d'offres eolien en mer;40.01.06;Conseil et expertise metier yc recherche et developpement;Ministeriel;National;;2020 2nd trim;48;entre 1 MEuros et 10 MEuros;2020
Ministere de la Transition ecologique et solidaire;;TELEPHONIE MOBILE;33.01.02;Services telephonie mobile;Ministeriel;Regional ou infra;AUVERGNE RHONE ALPES;2018 octobre;48;entre 100 KEuros et 1 MEuros;2018
Ministere de la Transition ecologique et solidaire;;Fournitures et livraison de lubrifiants, de fers er de flexibles hydrauliques pour la DIR MC Lot 2 Fers;44.03.14;Autres fournitures et petit equipement;Ministeriel;Regional ou infra;AUVERGNE RHONE ALPES;2019 3eme trim;48;entre 1 MEuros et 10 MEuros;2019
Ministere de la Transition ecologique et solidaire;;Portiques, Potences, Hauts Mets;45.05.07;Autres prestations et services;Ministeriel;Regional ou infra;AUVERGNE RHONE ALPES;2018 decembre;48;entre 100 KEuros et 1 MEuros;2018
Ministere de la Transition ecologique et solidaire;;CSPS 7 lots;45.05.07;Autres prestations et services;Ministeriel;Regional ou infra;AUVERGNE RHONE ALPES;2021 1er trim;48;entre 100 KEuros et 1 MEuros;2021
Ministere de la Transition ecologique et solidaire;;reparation glissieres;45.05.07;Autres prestations et services;Ministeriel;Regional ou infra;AUVERGNE RHONE ALPES;2021 3eme trim;48;entre 1 MEuros et 10 MEuros;2021
Ministere de la Transition ecologique et solidaire;;deux creneaux de depassement sur la RN 122;45.05.07;Autres prestations et services;Ministeriel;Regional ou infra;AUVERGNE RHONE ALPES;2018 novembre;12;entre 1 MEuros et 10 MEuros;2018
Ministere de la Transition ecologique et solidaire;;Services aux betimente: maintenance multitechnique;45.05.07;Autres prestations et services;Ministeriel;Administration centrale;;2020 1er trim;24;entre 100 KEuros et 1 MEuros;2020
Ministere de la Transition ecologique et solidaire;;District de Gironde-Travaux de pontage des fissures (2016DIRA012 );36.03.03;Travaux de construction d'ouvrage d'art;Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2020 2nd trim;48;entre 100 KEuros et 1 MEuros;2020
Ministere de la Transition ecologique et solidaire;;Mission de coordination SPS relative aux operations d'entretien et d'exploitation du reseau routier et des ouvrages de la DIR Atlantique e lot 1e: district d'Angouleme (2017DIRA021);45.05.07;Autres prestations et services;Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2021 2nd trim;48;< 100 KEuros;2021
Ministere de la Transition ecologique et solidaire;;Mission de coordination SPS relative aux operations d'entretien et d'exploitation du reseau routier et des ouvrages de la DIR Atlantique e lot 3e: district de Gironde (2017DIRA022);45.05.07;Autres prestations et services;Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2021 2nd trim;48;< 100 KEuros;2021
Ministere de la Transition ecologique et solidaire;;Travaux de fourniture, pose et reparation des dispositifs de retenue sur le reseau de la DIRA- Lot 4 District deoloron (2016DIRA073);36.06.01;Mat, equip signalisat infra transports routes (vertic horiz);Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2021 1er trim;48;entre 1 MEuros et 10 MEuros;2021
Ministere de la Transition ecologique et solidaire;;Balayage Mecanique sur le reseau du District de Gironde (2014DIRA030);36.03.02;Tvx rehabilitation infra transports, routes (yc revetement);Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2018 octobre;48;entre 100 KEuros et 1 MEuros;2018
Ministere de la Transition ecologique et solidaire;;Gestion de flotte pour vehicules industriels et engins speciaux (2017DIRA036);34.03.06;Entretien preventif, reparation, nettoyage vehic terrestres;Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2020 3eme trim;A determiner;A determiner;2020
Ministere de la Transition ecologique et solidaire;;RN164 Rostrenen Phase 2 Travaux OA lot 3;36.03.01;Tvx constr infra transports, routes (yc tvx prealables);Ministeriel;Regional ou infra;BRETAGNE;2020 1er trim;12;entre 1 MEuros et 10 MEuros;2020
Ministere de la Transition ecologique et solidaire;;RN176 Rance-Chenaie MOE Environnement;36.04.02;Prestation  de maetrise d'euvre (MOE);Ministeriel;Regional ou infra;BRETAGNE;2018 octobre;120;entre 100 KEuros et 1 MEuros;2018
Ministere de la Transition ecologique et solidaire;;Rocades de rennes e etudes amont Porte de Normandie phase 2;40.01.08;etude e caractere general;Ministeriel;Regional ou infra;BRETAGNE;2020 3eme trim;36;entre 100 KEuros et 1 MEuros;2020
Ministere de la Transition ecologique et solidaire;;TAC e Gimont;36.03.03;Travaux de construction d'ouvrage d'art;Ministeriel;Regional ou infra;OCCITANIE;2018 octobre;24;> 10 Meuros;2018
Ministere de la Transition ecologique et solidaire;;Rocade Ouest de Mende e mission VISA des ouvrages d'art courants;40.01.06;Conseil et expertise metier yc recherche et developpement;Ministeriel;Regional ou infra;OCCITANIE;2018 decembre;48;entre 100 KEuros et 1 MEuros;2018
Ministere de la Transition ecologique et solidaire;;RN 124 - Gimonte: mesures compensatoires Travaux;36.03.02;Tvx rehabilitation infra transports, routes (yc revetement);Ministeriel;Regional ou infra;OCCITANIE;2019 3eme trim;12;entre 100 KEuros et 1 MEuros;2019
Ministere de la Transition ecologique et solidaire;;TOARCE RN  112 Saint-Albi (etudes et travaux);36.03.02;Tvx rehabilitation infra transports, routes (yc revetement);Ministeriel;Regional ou infra;OCCITANIE;2020 3eme trim;24;entre 1 MEuros et 10 MEuros;2020
Ministere de l'Interieur et Ministere des Outre-mer;Regiment du Service Militaire Adapte de Guadeloupe (RSMA-GA);Renovation des betiments 102 et 107;36.02.03;Travaux de rehabilitation betiment;Ministeriel;Regional ou infra;OUTRE-MER;2018 octobre;8;entre 100 KEuros et 1 MEuros;2018
Ministere de l'Interieur et Ministere des Outre-mer;Regiment du Service Militaire Adapte de Guadeloupe (RSMA-GA);Construction d'une villa T6;36.02.01;Travaux construction betiment neuf;Ministeriel;Regional ou infra;OUTRE-MER;2020 2nd trim;14;entre 100 KEuros et 1 MEuros;2020
Ministere de l'Interieur et Ministere des Outre-mer;Regiment du Service Militaire Adapte de Polynesie (RSMA-Pf);Reorganisation des docks pedagogiques e Hiva -Oa;36.02.03;Travaux de rehabilitation betiment;Ministeriel;Regional ou infra;OUTRE-MER;2020 2nd trim;4;entre 100 KEuros et 1 MEuros;2020
Ministere de l'Interieur et Ministere des Outre-mer;Regiment du Service Militaire Adapte de Polynesie (RSMA-Pf);Rehabilitation de l'etage du bet 04 e Hiva-Oa;36.02.03;Travaux de rehabilitation betiment;Ministeriel;Regional ou infra;OUTRE-MER;2021 2nd trim;4;entre 100 KEuros et 1 MEuros;2021
Ministere de l'Interieur et Ministere des Outre-mer;Regiment du Service Militaire Adapte de Polynesie (RSMA-Pf);Reprise du reseau d'adduction d'eau e Tubuai;37.02.09;Maintenance de voierie et reseaux divers (VRD), hors route;Ministeriel;Regional ou infra;OUTRE-MER;2021 3eme trim;4;entre 100 KEuros et 1 MEuros;2021
Ministere des Solidarites et de la Sante, Ministere du Travail;DFAS SGI;Enlevement et traitement des dechets papier et menagers produits dans les locaux des ministeres sociaux;41.06.01;Collect, traitement dechet non dang, yc dechets indus banals;Ministeriel;Administration centrale;;2018 decembre;48;entre 100 KEuros et 1 MEuros;2018
Ministere des Solidarites et de la Sante, Ministere du Travail;DRDJCS Nouvelle Aquitaine;Acquisition de cheques cadeaux;45.05.02;Services sociaux et d'assistance;Ministeriel;Regional ou infra;NOUVELLE AQUITAINE;2018 octobre;12;< 100 KEuros;2018
Ministere des Solidarites et de la Sante, Ministere du Travail;DRH;Politiques publiques;40.02.06;Autres formations technique / metier;Ministeriel;National;;2018 octobre;48;entre 100 KEuros et 1 MEuros;2018
Ministere des Solidarites et de la Sante, Ministere du Travail;DRH;Document Archives;40.02.06;Autres formations technique / metier;Ministeriel;National;;2018 octobre;48;< 100 KEuros;2018
Ministere des Solidarites et de la Sante, Ministere du Travail;DSI;Marche de developpement;33.04.11;Forfait services projet applicatif (ingenierie de projet);Ministeriel;Administration centrale;;2018 octobre;48;entre 1 MEuros et 10 MEuros;2018
Ministere des Solidarites et de la Sante, Ministere du Travail;DGCS/MASSP;marche relatif e l'une de nos politiques publiques;40.01.08;etude e caractere general;Ministeriel;Administration centrale;;2019 1er trim;18;< 100 KEuros;2019
Ministere des Solidarites et de la Sante, Ministere du Travail;DIECCTE Martinique;ENTRETIEN ET MAINTENANCE DES CLIMATISEURS;37.02.02;Maintenance chauffage, ventilation, climatisation (CVC);Ministeriel;Regional ou infra;OUTRE-MER;2019 1er trim;12;< 100 KEuros;2019
Ministere des Solidarites et de la Sante, Ministere du Travail;DFAS SGI;Location  et livraison de materiels audiovisuels, de materiel de traduction simultanee et de mobilier technique;38.01.04;Materiel audiovisuel;Ministeriel;Administration centrale;;2019 3eme trim;48;< 100 KEuros;2019
Ministere des Solidarites et de la Sante, Ministere du Travail;DFAS SGI;Location et maintenance d'une configuration de materiels de reprographie haut volume;39.02.03;Consommable industriel impression e encrage;Ministeriel;Administration centrale;;2019 3eme trim;48;entre 100 KEuros et 1 MEuros;2019
Ministere des Solidarites et de la Sante, Ministere du Travail;DFAS SGI;Prestations de traduction et d'interpretariat pour le compte des ministeres sociaux - Lot 1 Traduction (langue etrangere) - Lot 2 Interpretariat (langue etrangere);40.01.11;Services de traduction, interprete;Ministeriel;Administration centrale;;2019 4eme trim;48;entre 100 KEuros et 1 MEuros;2019
Ministere des Solidarites et de la Sante, Ministere du Travail;DFAS SGI;Prestations de traiteur de gamme superieure, de gamme intermediaire et de gamme basique pour plus de 300 personnes - Lot 1 Gamme superieure (3 titulaires) - Lot 2 Gamme intermediaire - Lot 3 Gamme basique pour plus de 300 personnes;41.04.05;Prestations de traiteur;Ministeriel;Administration centrale;;2019 4eme trim;48;entre 100 KEuros et 1 MEuros;2019
Ministere des Solidarites et de la Sante, Ministere du Travail;DICOM;Panorama de presse pour le secteur sanitaire et social;38.02.06;Agence de presse et veille media;Ministeriel;Administration centrale;;2019 1er trim;48;entre 100 KEuros et 1 MEuros;2019
Ministere des Solidarites et de la Sante, Ministere du Travail;DIRECCTE PACA;Renonvation et securisation des balcons;36.02.02;Travaux de renovation betiment (yc betiments historiques);Ministeriel;Regional ou infra;PACA;2019 3eme trim;3;entre 100 KEuros et 1 MEuros;2019
Ministere des Solidarites et de la Sante, Ministere du Travail;DIRECCTE PACA;Entretien espace vert;37.01.03;Entretien espaces verts et exterieurs;Ministeriel;Regional ou infra;PACA;2019 1er trim;36;< 100 KEuros;2019
Ministere des Solidarites et de la Sante, Ministere du Travail;DIRECCTE PAYS DE LA LOIRE;CONTReLE DE SERVICE FAIT-FSE;40.01.06;Conseil et expertise metier yc recherche et developpement;Ministeriel;Regional ou infra;PAYS DE LA LOIRE;2019 3eme trim;36;< 100 KEuros;2019
Ministere des Solidarites et de la Sante, Ministere du Travail;DREES;Enquete Motivations depart retraite - vague 5;40.01.07;Enquete et sondage;Ministeriel;Administration centrale;;2019 2nd trim;12;< 100 KEuros;2019
Ministere des Solidarites et de la Sante, Ministere du Travail;DRH;Etude de cohorte sur les discriminations dans les parcours professionnels;40.01.07;Enquete et sondage;Ministeriel;National;;2019 1er trim;12;< 100 KEuros;2019
Ministere des Solidarites et de la Sante, Ministere du Travail;DRJSCS Bretagne;Fourniture de cheques cadeaux multi enseignes;44.03.14;Autres fournitures et petit equipement;Ministeriel;Regional ou infra;BRETAGNE;2019 4eme trim;12;< 100 KEuros;2019
Ministere des Solidarites et de la Sante, Ministere du Travail;DFAS SGI;Maintenance multitechnique et operations deextension et deamelioration;37.05.02;Contrat de maintenance multitechniques;Ministeriel;Administration centrale;;2020 1er trim;48;entre 1 MEuros et 10 MEuros;2020
Ministere des Solidarites et de la Sante, Ministere du Travail;DIRECCTE IDF;Intervention d'un psychologue;43.07.01;Materiel medical (hors hospitalier);Ministeriel;Regional ou infra;ILE DE France;2020 4eme trim;48;< 100 KEuros;2020
Ministere des Solidarites et de la Sante, Ministere du Travail;DIRECCTE IDF;Intervention d'un conseiller en economie sociale et familiale;45.05.02;Services sociaux et d'assistance;Ministeriel;Regional ou infra;ILE DE France;2020 4eme trim;48;< 100 KEuros;2020
Ministere des Solidarites et de la Sante, Ministere du Travail;DIRECCTE PAYS DE LA LOIRE;ACCOMPAGNEMENT DES MUTATIONS ECONOMIQUES;40.01.02;Conseil en strategie et organisation;Ministeriel;Regional ou infra;PAYS DE LA LOIRE;2021 4eme trim;48;entre 100 KEuros et 1 MEuros;2021
Ministere des Solidarites et de la Sante, Ministere du Travail;DFAS SGI;Fourniture deabonnements au service en ligne lamyline (abonnements en ligne, de revues juridiques, d'encyclopedies ainsi que de services connexes par Wolters Kluwer Lamy);41.01.04;Base de donnees documentaires;Ministeriel;Administration centrale;;2021 1er trim;48;entre 100 KEuros et 1 MEuros;2021
